name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
maruti 800 ac,2007,60000,70000,petrol,individual,manual,first
maruti wagon r lxi minor,2007,135000,50000,petrol,individual,manual,first
hyundai verna 1.6 sx,2012,600000,100000,diesel,individual,manual,first
maruti wagon r vxi bs iv,2012,275000,60000,petrol,individual,manual,second
hyundai santro xing gls,2009,150000,79000,petrol,individual,manual,third
maruti alto lxi,2006,100000,80000,petrol,individual,manual,first
maruti alto lxi,2012,160000,60000,petrol,individual,manual,second
maruti wagon r vxi bs iv,2013,300000,80000,petrol,dealer,manual,first
hyundai eon magna plus,2014,240000,73300,petrol,dealer,manual,second
maruti alto lxi,2009,151000,66764,petrol,dealer,manual,second
maruti alto lxi,2009,140000,100000,petrol,individual,manual,first
hyundai eon magna plus,2018,300000,31000,petrol,individual,manual,first
mahindra xuv500 w8 2wd,2015,750000,70000,diesel,individual,manual,first
mahindra bolero power plus slx,2017,628000,120000,diesel,individual,manual,first
renault kwid rxt,2017,315000,16000,petrol,individual,manual,first
renault kwid rxt,2017,350000,25000,petrol,individual,manual,first
maruti swift dzire vdi,2014,434000,79350,diesel,individual,manual,second
maruti ertiga vdi,2014,500000,120000,diesel,individual,manual,second
chevrolet spark 1.0 ls,2012,130000,80000,petrol,individual,manual,first
hyundai eon era plus,2015,200000,70000,petrol,individual,manual,first
hyundai eon era plus,2013,280000,3240,petrol,individual,manual,second
hyundai eon magna plus,2012,170000,60000,petrol,individual,manual,first
renault kwid rxt,2016,225000,25000,petrol,individual,manual,first
chevrolet spark 1.0 ls,2011,99000,100000,petrol,individual,manual,third
chevrolet beat lt,2016,320000,40000,petrol,individual,manual,first
maruti swift vdi bsiv,2015,400000,100000,diesel,individual,manual,third
maruti alto lxi,2012,175000,80000,petrol,individual,manual,third
chevrolet beat lt,2011,120000,90000,petrol,individual,manual,second
maruti 800 ac,2007,95000,100000,petrol,individual,manual,second
maruti alto k10 vxi,2018,380000,22155,petrol,individual,manual,first
maruti alto lx,2009,150000,60000,petrol,individual,manual,second
mahindra bolero power plus slx,2019,800000,15000,diesel,individual,manual,first
ford figo diesel titanium,2010,170000,90000,diesel,individual,manual,third
ford figo diesel titanium,2011,190000,90000,diesel,individual,manual,third
maruti swift dzire vdi,2009,250000,150000,diesel,individual,manual,third
maruti swift vdi bsiv,2017,600000,80362,diesel,individual,manual,first
chevrolet beat diesel lt,2012,150000,60000,diesel,individual,manual,first
mahindra xuv500 w6 2wd,2017,1000000,40000,diesel,individual,manual,first
hyundai eon era plus,2012,235000,54000,petrol,dealer,manual,first
maruti alto lx,2006,52000,120000,petrol,individual,manual,third
maruti alto lx,2012,140000,70000,petrol,individual,manual,second
maruti alto lxi bsiii,2008,125000,80000,petrol,individual,manual,first
chevrolet beat diesel ls,2012,220000,100000,diesel,individual,manual,second
chevrolet beat diesel lt,2011,130000,80000,diesel,individual,manual,second
renault kwid rxt,2018,360000,26500,petrol,individual,manual,first
maruti alto lxi,2007,100000,195000,petrol,individual,manual,first
maruti alto lxi,2010,120000,90000,petrol,individual,manual,second
mahindra bolero power plus slx,2019,860000,35000,diesel,individual,manual,first
maruti wagon r lxi minor,2010,100000,80000,petrol,individual,manual,second
maruti alto 800 vxi,2017,282000,20000,petrol,individual,manual,first
hyundai verna 1.6 sx crdi (o),2013,550000,29000,diesel,individual,manual,first
maruti alto 800 lxi,2013,110000,50000,petrol,individual,manual,first
hyundai eon magna plus,2018,229999,30000,petrol,individual,manual,first
maruti wagon r lxi,2005,80000,40000,petrol,individual,manual,second
chevrolet beat diesel ls,2011,106000,50000,diesel,individual,manual,first
mahindra xuv500 w8 2wd,2012,850000,212814,diesel,dealer,manual,first
maruti swift dzire vdi,2018,800000,25000,diesel,individual,manual,first
maruti swift vdi bsiii,2008,250000,120000,diesel,individual,manual,third
maruti wagon r vxi bs iv,2014,300000,35000,petrol,individual,manual,second
maruti swift dzire vdi,2015,490000,60000,diesel,individual,manual,second
hyundai grand i10 sportz,2016,350000,25000,petrol,individual,manual,first
maruti ritz vdi,2013,335000,80000,diesel,dealer,manual,first
maruti swift vdi bsiv,2014,470000,163000,diesel,individual,manual,first
maruti alto lx,2011,145000,25000,petrol,individual,manual,first
maruti swift dzire vdi,2014,400000,90000,diesel,individual,manual,first
hyundai eon era plus,2012,200000,46000,petrol,individual,manual,first
mahindra xuv500 w6 2wd,2012,550000,80000,diesel,individual,manual,first
renault kwid 1.0 rxt optional,2018,325000,35000,petrol,individual,manual,first
mahindra xuv500 w8 2wd,2012,600000,200000,diesel,individual,manual,first
maruti ertiga vdi,2013,400000,110000,diesel,individual,manual,first
maruti swift vdi bsiv,2017,600000,90000,diesel,individual,manual,first
maruti alto 800 lxi,2016,130000,40000,petrol,individual,manual,first
maruti wagon r lxi,2006,90000,62009,petrol,individual,manual,second
hyundai eon era plus,2014,190000,40000,petrol,individual,manual,second
maruti wagon r lxi minor,2007,95000,80000,petrol,individual,manual,first
ford ecosport 1.5 dv5 mt titanium,2014,500000,49000,diesel,individual,manual,first
maruti alto lx,2007,70000,180000,petrol,individual,manual,third
maruti 800 ac,2007,105000,60000,petrol,individual,manual,second
maruti wagon r lxi,2004,80000,60000,petrol,individual,manual,third
maruti alto 800 vxi,2016,300000,30000,petrol,individual,manual,first
tata new safari dicor 2.2 ex 4x2,2010,250000,120000,diesel,individual,manual,second
maruti swift dzire vdi,2012,215000,80000,diesel,individual,manual,third
chevrolet spark 1.0 ls,2008,75000,35000,petrol,individual,manual,second
maruti ritz vdi,2011,150000,40000,diesel,individual,manual,second
hyundai grand i10 sportz,2015,400000,61690,petrol,dealer,manual,first
ford figo diesel titanium,2011,220000,70000,diesel,individual,manual,second
mahindra xuv500 w6 2wd,2013,500000,72104,diesel,dealer,manual,second
maruti alto lx,2006,65000,124439,petrol,individual,manual,second
maruti swift dzire vdi,2014,240000,90000,diesel,individual,manual,first
renault kwid 1.0 rxt optional,2017,390000,30000,petrol,individual,manual,first
maruti swift vdi,2012,320000,80000,diesel,individual,manual,second
maruti alto 800 lxi,2018,310000,5000,petrol,individual,manual,first
hyundai eon era plus,2013,200000,24005,petrol,individual,manual,first
maruti swift dzire zdi,2015,625000,80000,diesel,individual,manual,first
maruti alto lx,2009,140000,120000,petrol,individual,manual,second
chevrolet beat lt,2010,130000,80000,petrol,individual,manual,second
maruti swift vdi,2012,352000,109000,diesel,individual,manual,first
maruti alto lx,2012,150000,90000,petrol,individual,manual,first
maruti swift vdi bsiii,2010,300000,110000,diesel,individual,manual,second
maruti swift vdi bsiii,2010,310000,100000,diesel,individual,manual,third
ford figo diesel titanium,2012,425000,81632,diesel,dealer,manual,first
ford ecosport 1.5 dv5 mt titanium,2014,750000,101504,diesel,dealer,manual,first
mahindra xuv500 w8 2wd,2013,900000,85036,diesel,dealer,manual,second
maruti swift vdi,2013,365000,65000,diesel,dealer,manual,first
maruti swift vdi,2007,225000,50000,diesel,dealer,manual,first
maruti alto lx,2011,135000,50000,petrol,individual,manual,first
maruti wagon r lxi minor,2007,140000,49000,petrol,dealer,manual,first
renault kwid rxt,2015,275000,14365,petrol,dealer,manual,first
hyundai verna 1.6 sx,2013,484999,65000,diesel,dealer,manual,first
maruti swift dzire vdi,2013,425000,61083,diesel,dealer,manual,first
hyundai eon era plus,2015,295000,21000,petrol,dealer,manual,second
maruti alto 800 lxi,2014,114999,30000,petrol,individual,manual,first
chevrolet beat lt,2012,200999,90000,petrol,individual,manual,second
maruti swift vdi,2018,600000,60000,diesel,individual,manual,first
maruti alto k10 vxi,2016,270000,25000,petrol,individual,manual,first
maruti alto lxi,2009,110000,20000,petrol,individual,manual,first
maruti 800 ac,2012,180000,120000,petrol,individual,manual,first
hyundai verna 1.6 sx,2013,495000,100000,diesel,individual,manual,second
maruti alto 800 vxi,2015,190000,70000,petrol,individual,manual,first
maruti alto 800 vxi,2018,195000,5000,petrol,individual,manual,first
maruti alto 800 vxi,2018,183000,40000,petrol,individual,manual,first
hyundai verna 1.6 sx crdi (o),2012,409999,60000,diesel,individual,manual,second
mahindra xuv500 w6 2wd,2015,825000,90000,diesel,individual,manual,third
maruti alto lx,2011,114999,60000,petrol,individual,manual,third
maruti wagon r lxi minor,2009,150000,53000,petrol,individual,manual,first
hyundai verna 1.6 sx,2012,390000,86000,diesel,dealer,manual,second
hyundai verna 1.6 sx crdi (o),2014,550000,50000,diesel,individual,manual,first
maruti alto lxi,2010,140000,30000,petrol,individual,manual,first
maruti swift vdi,2013,325000,60000,diesel,individual,manual,first
maruti alto lxi,2008,110000,90000,petrol,individual,manual,second
maruti alto 800 vxi,2017,229999,40000,petrol,individual,manual,first
maruti alto 800 lxi,2006,165000,132000,petrol,individual,manual,first
hyundai eon era plus,2018,325000,20629,petrol,dealer,manual,first
mahindra bolero power plus slx,2018,790000,40890,diesel,dealer,manual,first
hyundai eon magna plus,2016,220000,43700,petrol,individual,manual,first
tata indica gls bs iv,2009,68000,120000,petrol,individual,manual,second
hyundai eon era plus,2017,290000,20000,petrol,individual,manual,first
maruti alto 800 lxi,2014,180000,56207,petrol,dealer,manual,second
maruti alto 800 lxi,2019,300000,50000,petrol,individual,manual,first
maruti swift vdi,2012,450000,46000,diesel,individual,manual,first
mahindra xuv500 w8 2wd,2012,400000,150000,diesel,individual,manual,second
maruti swift dzire vdi,2014,390000,60000,diesel,individual,manual,second
maruti swift vdi bsiv,2014,575000,90000,diesel,individual,manual,second
maruti wagon r lxi,2011,260000,28481,petrol,dealer,manual,first
mahindra xuv500 w8 2wd,2013,750000,41988,diesel,dealer,manual,first
maruti wagon r lxi,2009,180000,30375,petrol,dealer,manual,first
maruti swift dzire vdi,2017,611000,34400,diesel,dealer,manual,first
mahindra bolero power plus slx,2017,400000,50000,diesel,individual,manual,second
mahindra xuv500 w8 2wd,2012,711000,53600,diesel,dealer,manual,first
maruti alto 800 vxi,2017,150000,50000,petrol,individual,manual,first
hyundai eon magna plus,2013,125000,205000,petrol,individual,manual,first
hyundai grand i10 sportz,2015,350000,90000,petrol,individual,manual,second
hyundai verna 1.6 sx crdi (o),2013,620000,70000,diesel,individual,manual,second
hyundai santro xing gls,2009,110000,120000,petrol,individual,manual,first
hyundai santro xing gls,2009,140000,120000,petrol,individual,manual,first
maruti alto 800 lxi,2017,160000,50000,petrol,individual,manual,first
maruti alto 800 lxi,2016,150000,60000,petrol,individual,manual,first
mahindra xuv500 w8 2wd,2013,500000,100000,diesel,individual,manual,second
maruti swift vdi,2011,285000,50000,diesel,individual,manual,second
maruti alto lx,2012,155000,19077,petrol,individual,manual,second
maruti alto lxi,2009,140000,80000,petrol,individual,manual,second
renault kwid 1.0 rxt optional,2018,300000,10500,petrol,individual,manual,first
maruti alto 800 lxi,2015,240000,50000,petrol,individual,manual,second
hyundai eon era plus,2014,260000,37605,petrol,dealer,manual,first
maruti alto k10 vxi,2019,350000,5000,petrol,individual,manual,first
maruti swift vdi bsiv,2015,475000,60000,diesel,individual,manual,first
maruti swift dzire vdi,2018,500000,50000,diesel,individual,manual,first
maruti alto k10 vxi,2017,320000,30000,petrol,individual,manual,first
maruti swift dzire zdi,2018,750000,50000,diesel,individual,manual,first
hyundai eon magna plus,2014,220000,42000,petrol,individual,manual,first
maruti alto 800 lxi,2014,210000,20000,petrol,individual,manual,first
hyundai santro xing gls,2014,250000,50000,petrol,individual,manual,second
hyundai eon era plus,2012,160000,70000,petrol,individual,manual,third
maruti alto lx,2007,100000,52000,petrol,individual,manual,second
chevrolet beat diesel ls,2011,95000,70000,diesel,individual,manual,first
maruti swift dzire vdi,2011,375000,190000,diesel,individual,manual,third
tata indica gls bs iv,2008,80000,200000,petrol,individual,manual,first
chevrolet beat diesel ls,2012,160000,50000,diesel,individual,manual,first
maruti alto 800 vxi,2016,245000,60000,petrol,individual,manual,first
renault kwid 1.0 rxt optional,2018,370000,10000,petrol,dealer,manual,first
hyundai eon magna plus,2015,250000,30000,petrol,individual,manual,first
maruti swift dzire vdi,2015,480000,50000,diesel,individual,manual,first
maruti alto lxi,2006,75000,80000,petrol,individual,manual,third
tata indica gls bs iv,2010,99000,70000,petrol,individual,manual,first
maruti swift dzire vdi,2016,525000,60000,diesel,individual,manual,first
chevrolet beat diesel ls,2012,200000,85000,diesel,individual,manual,first
maruti swift vdi bsiii,2010,180000,100000,diesel,individual,manual,second
maruti alto 800 lxi,2015,285000,46000,petrol,individual,manual,second
maruti alto lxi bsiii,2008,91200,60000,petrol,individual,manual,second
hyundai verna 1.6 sx,2012,409999,120000,diesel,individual,manual,third
ford ecosport 1.5 dv5 mt titanium,2013,425000,72000,diesel,individual,manual,first
maruti alto 800 lxi,2018,285000,30000,petrol,dealer,manual,first
tata new safari dicor 2.2 ex 4x2,2012,350000,65000,diesel,dealer,manual,first
hyundai eon magna plus,2015,245000,32000,petrol,dealer,manual,first
maruti alto lx,2011,180000,36000,petrol,dealer,manual,first
maruti alto lx,2004,110000,60000,petrol,individual,manual,first
mahindra bolero power plus slx,2018,550000,44000,diesel,individual,manual,first
maruti wagon r lxi minor,2007,80000,120000,petrol,individual,manual,second
renault kwid 1.0 rxt optional,2017,350000,10000,petrol,individual,manual,first
maruti alto lxi,2009,150000,90246,petrol,individual,manual,third
maruti alto lxi bsiii,2010,150000,40000,petrol,individual,manual,second
maruti swift vdi,2013,390000,90000,diesel,individual,manual,first
maruti alto 800 lxi,2014,204999,25000,petrol,individual,manual,second
hyundai grand i10 sportz,2017,375000,10000,petrol,individual,manual,first
maruti swift dzire vdi,2014,200000,107143,diesel,individual,manual,second
maruti swift dzire vdi,2008,250000,82000,diesel,individual,manual,second
maruti alto 800 lxi,2012,200000,90000,petrol,individual,manual,third
maruti alto lx,2011,151000,40000,petrol,individual,manual,first
maruti alto lxi,2007,90000,43826,petrol,dealer,manual,second
maruti swift vdi bsiv,2007,195000,112880,diesel,dealer,manual,first
renault kwid 1.0 rxt optional,2017,300000,30300,petrol,individual,manual,first
maruti alto 800 lxi,2015,280000,15000,petrol,individual,manual,second
chevrolet beat diesel lt,2012,250000,110000,diesel,individual,manual,first
chevrolet beat diesel ls,2013,190000,70000,diesel,individual,manual,first
maruti alto 800 vxi,2014,160000,90000,petrol,individual,manual,first
maruti swift dzire vdi,2013,340000,110000,diesel,individual,manual,second
maruti ritz vdi,2012,110000,80000,diesel,individual,manual,second
tata indica gls bs iv,2007,85000,50000,petrol,individual,manual,second
maruti wagon r lxi minor,2007,85000,80000,petrol,individual,manual,second
maruti ertiga vdi,2019,925000,50000,diesel,individual,manual,first
maruti swift vdi,2013,400000,90000,diesel,individual,manual,first
maruti alto 800 lxi,2018,275000,35000,petrol,individual,manual,first
maruti alto lx,2010,110000,88000,petrol,individual,manual,second
maruti swift dzire vdi,2017,600000,60000,diesel,individual,manual,first
ford figo diesel titanium,2010,200000,100000,diesel,individual,manual,second
hyundai verna 1.6 sx crdi (o),2012,450000,110000,diesel,individual,manual,second
hyundai verna 1.6 sx crdi (o),2012,550000,80000,diesel,individual,manual,second
maruti alto lx,2012,220000,80000,petrol,individual,manual,second
maruti swift dzire vdi,2017,610000,40000,diesel,individual,manual,second
maruti alto lxi bsiii,2008,125000,102000,petrol,dealer,manual,first
maruti alto lxi,2007,100000,70000,petrol,individual,manual,second
maruti swift vdi,2013,450000,100000,diesel,individual,manual,second
maruti swift dzire vdi,2015,530000,100000,diesel,individual,manual,first
maruti swift dzire zdi,2019,475000,120000,diesel,individual,manual,second
maruti swift dzire zdi,2014,475000,120000,diesel,individual,manual,second
hyundai eon era plus,2013,200000,120000,petrol,individual,manual,first
maruti ritz vdi,2014,350000,133000,diesel,individual,manual,first
maruti wagon r vxi bs iv,2016,400000,25000,petrol,individual,manual,first
maruti alto 800 lxi,2016,210000,52000,petrol,individual,manual,first
maruti swift vdi bsiv,2014,370000,57000,diesel,individual,manual,second
maruti alto 800 lxi,2013,250000,87000,petrol,individual,manual,first
chevrolet beat lt,2012,155000,12000,petrol,individual,manual,first
maruti alto k10 vxi,2017,325000,15000,petrol,individual,manual,first
chevrolet spark 1.0 ls,2011,125000,60000,petrol,individual,manual,third
mahindra xuv500 w8 2wd,2012,580000,70000,diesel,individual,manual,first
ford figo diesel titanium,2014,200000,90000,diesel,individual,manual,second
tata new safari dicor 2.2 ex 4x2,2010,180000,120000,diesel,individual,manual,second
chevrolet beat lt,2013,165000,50000,petrol,individual,manual,first
chevrolet beat diesel lt,2013,210000,80000,diesel,individual,manual,second
hyundai verna 1.6 sx crdi (o),2012,575000,89550,diesel,individual,manual,second
chevrolet spark 1.0 ls,2010,175000,45000,petrol,individual,manual,second
chevrolet spark 1.0 ls,2009,170000,44800,petrol,individual,manual,second
tata indica gls bs iv,2006,75000,100000,petrol,individual,manual,second
maruti alto lxi,2012,180000,60000,petrol,individual,manual,second
maruti swift vdi,2013,400000,170000,diesel,individual,manual,first
tata indica gls bs iv,2009,200000,100000,petrol,individual,manual,first
maruti alto lxi bsiii,2010,210000,25000,petrol,individual,manual,first
maruti alto 800 lxi,2016,260000,45000,petrol,individual,manual,second
maruti alto lxi bsiii,2008,180000,70000,petrol,individual,manual,third
maruti alto 800 lxi,2019,280000,25880,petrol,individual,manual,first
maruti swift dzire vdi,2009,300000,50000,diesel,individual,manual,first
maruti alto lxi,2009,110000,50000,petrol,individual,manual,second
maruti wagon r lxi minor,2008,300000,30000,petrol,individual,manual,first
maruti ritz vdi,2011,180000,90000,diesel,individual,manual,second
hyundai santro xing gls,2010,170000,50000,petrol,individual,manual,second
maruti alto 800 lxi,2014,110000,25000,petrol,individual,manual,first
maruti swift vdi bsiv,2015,450000,70000,diesel,individual,manual,third
maruti alto lx,2006,105000,100000,petrol,individual,manual,third
maruti alto lxi,2008,69000,100000,petrol,individual,manual,first
maruti swift vdi,2011,256000,70000,diesel,individual,manual,third
renault kwid rxt,2016,240000,70000,petrol,individual,manual,second
hyundai santro xing gls,2008,125000,85000,petrol,individual,manual,first
ford ecosport 1.5 dv5 mt titanium,2015,650000,68000,diesel,individual,manual,first
chevrolet beat lt,2016,245000,52000,petrol,dealer,manual,first
maruti wagon r vxi bs iv,2017,350000,48000,petrol,individual,manual,third
maruti wagon r vxi bs iv,2017,350000,30000,petrol,individual,manual,first
hyundai eon era plus,2013,160000,80000,petrol,individual,manual,first
hyundai eon magna plus,2016,229999,80000,petrol,individual,manual,first
chevrolet beat diesel lt,2012,200000,50000,diesel,individual,manual,first
renault kwid rxt,2016,200000,53000,petrol,individual,manual,second
maruti alto 800 lxi,2017,250000,30000,petrol,individual,manual,first
hyundai santro xing gls,2008,130000,100000,petrol,individual,manual,first
maruti wagon r lxi,2005,70000,80000,petrol,individual,manual,first
maruti swift vdi,2013,370000,80000,diesel,individual,manual,third
maruti alto lxi,2008,70000,90000,petrol,individual,manual,second
maruti alto lxi,2010,160000,36000,petrol,individual,manual,first
maruti swift dzire vdi,2018,680000,20000,diesel,individual,manual,first
maruti swift dzire vdi,2015,650000,50000,diesel,individual,manual,first
hyundai santro xing gls,2013,324000,30000,petrol,individual,manual,first
maruti alto 800 lxi,2018,200000,35000,petrol,individual,manual,first
maruti swift dzire vdi,2015,320000,60000,diesel,individual,manual,first
maruti swift dzire zdi,2015,800000,135000,diesel,individual,manual,first
maruti swift dzire zdi,2014,580000,70000,diesel,individual,manual,first
mahindra xuv500 w6 2wd,2016,900000,47000,diesel,individual,manual,first
hyundai eon era plus,2016,320000,24662,petrol,dealer,manual,first
maruti swift dzire vdi,2013,525000,37000,diesel,dealer,manual,first
maruti wagon r lxi,2008,221000,35008,petrol,dealer,manual,first
hyundai santro xing gls,2009,195000,27005,petrol,dealer,manual,first
maruti alto lxi,2004,70000,50000,petrol,individual,manual,second
mahindra xuv500 w6 2wd,2015,850000,55000,diesel,individual,manual,first
tata new safari dicor 2.2 ex 4x2,2011,350000,170000,diesel,individual,manual,second
maruti swift vdi,2012,190000,80000,diesel,individual,manual,third
maruti swift vdi,2016,565000,47000,diesel,dealer,manual,first
maruti swift vdi bsiii,2010,325000,79357,diesel,dealer,manual,first
maruti alto 800 lxi,2013,210000,42000,petrol,individual,manual,third
maruti ertiga vdi,2012,600000,120000,diesel,individual,manual,third
maruti alto lxi,2009,150000,120000,petrol,individual,manual,first
maruti swift dzire vdi,2012,450000,33000,diesel,individual,manual,first
maruti alto 800 lxi,2017,178000,35000,petrol,individual,manual,first
tata indica gls bs iv,2008,65000,110000,petrol,individual,manual,third
maruti swift dzire vdi,2012,250000,140000,diesel,individual,manual,second
maruti swift dzire vdi,2015,455000,92621,diesel,dealer,manual,first
maruti swift dzire vdi,2019,650000,5000,diesel,individual,manual,first
chevrolet beat lt,2013,200000,50000,petrol,individual,manual,first
maruti alto lxi,2007,100000,100000,petrol,individual,manual,second
maruti ritz vdi,2010,148000,100000,diesel,individual,manual,second
maruti alto lx,2006,95000,90000,petrol,individual,manual,second
hyundai eon era plus,2013,250000,35000,petrol,individual,manual,first
tata new safari dicor 2.2 ex 4x2,2010,250000,80000,diesel,individual,manual,first
maruti alto lxi bsiii,2008,125000,70000,petrol,individual,manual,first
maruti wagon r vxi bs iv,2014,340000,15000,petrol,individual,manual,second
maruti ertiga vdi,2014,480000,110000,diesel,individual,manual,second
hyundai verna 1.6 sx crdi (o),2013,315000,80000,diesel,individual,manual,second
maruti swift dzire vdi,2018,700000,38217,diesel,individual,manual,first
maruti ritz vdi,2011,200000,120000,diesel,individual,manual,first
maruti swift dzire vdi,2016,284000,40000,diesel,individual,manual,second
chevrolet beat lt,2010,135000,80000,petrol,individual,manual,second
maruti swift vdi bsiv,2014,458000,80000,diesel,individual,manual,first
maruti alto k10 vxi,2018,300000,35000,petrol,individual,manual,first
maruti alto lxi,2008,95000,70000,petrol,individual,manual,first
maruti wagon r lxi minor,2009,150000,70000,petrol,individual,manual,first
chevrolet spark 1.0 ls,2008,50000,70000,petrol,individual,manual,first
maruti alto 800 lxi,2018,300000,16584,petrol,dealer,manual,first
maruti wagon r lxi,2010,221000,51000,petrol,dealer,manual,first
maruti alto 800 lxi,2015,250999,35000,petrol,dealer,manual,first
maruti alto 800 lxi,2016,245000,68000,petrol,dealer,manual,first
maruti alto 800 lxi,2013,92800,25000,petrol,individual,manual,second
